# id> internal counter
# ope_call_id> internal foreign key for ope_calls structure. Each represents one call. Relation 1:1 to ope_calls
# ope_wup_question_id> id of predefined call type - what is customer asking for (no custom possible)
# ope_wup_answer_id> id of predefined answeres to that question (no custom possible)
# created_ad, updated_at> timestamp of database insert

"id","ope_call_id","ope_wup_question_id","ope_wup_answer_id","created_at","updated_at"
"771","319203","5","7","2014-03-28 13:12:02","2014-03-28 13:12:02"
"773","319593","5","7","2014-03-28 13:12:13","2014-03-28 13:12:13"
"775","319543","3","7","2014-03-28 13:13:12","2014-03-28 13:13:12"
"777","319705","5","7","2014-03-28 13:13:25","2014-03-28 13:13:25"
"779","319781","1","1","2014-03-28 13:13:35","2014-03-28 13:13:35"
"781","319675","5","3","2014-03-28 13:14:23","2014-03-28 13:14:23"
"783","319837","7","9","2014-03-28 13:14:45","2014-03-28 13:14:45"
"785","319927","5","7","2014-03-28 13:14:59","2014-03-28 13:14:59"
"787","319877","1","1","2014-03-28 13:15:45","2014-03-28 13:15:45"
"789","320049","5","3","2014-03-28 13:16:13","2014-03-28 13:16:13"
"791","319989","3","3","2014-03-28 13:17:03","2014-03-28 13:17:03"
"793","320231","5","3","2014-03-28 13:17:38","2014-03-28 13:17:38"
"795","320197","5","7","2014-03-28 13:17:41","2014-03-28 13:17:41"
"797","320337","5","3","2014-03-28 13:18:47","2014-03-28 13:18:47"
"799","320339","5","7","2014-03-28 13:19:07","2014-03-28 13:19:07"
"801","320309","5","7","2014-03-28 13:19:11","2014-03-28 13:19:11"
"803","320535","5","3","2014-03-28 13:19:39","2014-03-28 13:19:39"
"805","320621","3","3","2014-03-28 13:20:06","2014-03-28 13:20:06"
"807","320707","7","9","2014-03-28 13:20:47","2014-03-28 13:20:47"
"809","320791","3","7","2014-03-28 13:21:44","2014-03-28 13:21:44"
"811","320563","3","7","2014-03-28 13:21:46","2014-03-28 13:21:46"
"813","320727","1","1","2014-03-28 13:22:25","2014-03-28 13:22:25"
"815","320923","11","17","2014-03-28 13:22:49","2014-03-28 13:22:49"
"817","320843","5","3","2014-03-28 13:22:49","2014-03-28 13:22:49"
"819","320983","7","9","2014-03-28 13:23:03","2014-03-28 13:23:03"
"821","320995","5","7","2014-03-28 13:23:53","2014-03-28 13:23:53"
"823","320925","5","7","2014-03-28 13:24:20","2014-03-28 13:24:20"
"825","320925","5","3","2014-03-28 13:24:22","2014-03-28 13:24:22"
"827","321157","5","3","2014-03-28 13:24:52","2014-03-28 13:24:52"
