# id> internal primary key for ope_calls structure. Each represents one call
# phone_number> hashed incoming phone number
# operator> person who picked the call
# line> type of incoming line (i.e. O2 mobile, T-mobile prepaid etc.)
# answered_at> time of incoming call start (when operator starts to talk)
# droped_at> time of call end
# ended_at> time when operator finished the call (after call tasks are done)
# created_ad, updated_at> timestamp of database insert
# line_id> id of service that customer called at

"id","phone_number","operator","line","answered_at","droped_at","ended_at","created_at","updated_at","line_id"
"205","bcdbd1cca6f6b8079d7757b5e22c390d","80117","line 1","2014-03-14 18:41:27","NULL","NULL","2014-03-14 18:41:25","2014-03-14 18:41:25","NULL"
"207","ba49c416f5cf39dcf4c2af99559704a1","80150","line 4","2014-03-14 18:41:32","NULL","NULL","2014-03-14 18:41:30","2014-03-14 18:41:30","NULL"
"209","bcdbd1cca6f6b8079d7757b5e22c390d","80104","line 1","2014-03-14 18:41:45","NULL","NULL","2014-03-14 18:41:43","2014-03-14 18:41:43","NULL"
"211","2ec50ae3882861aa3dbfedab56fe09f6","80117","line 2","2014-03-14 18:41:55","NULL","NULL","2014-03-14 18:41:53","2014-03-14 18:41:53","NULL"
"213","e576b04726b2cd4167ee2062836930e4","80134","line 1","2014-03-14 18:42:00","NULL","NULL","2014-03-14 18:41:58","2014-03-14 18:41:58","NULL"
"215","c0aac974ccb62e8ec4ead5ba593042fa","80099","line 2","2014-03-14 18:42:14","NULL","NULL","2014-03-14 18:42:12","2014-03-14 18:42:12","NULL"
"217","2ec76232e7cdea029a69489afbabedc5","80104","line 2","2014-03-14 18:42:19","NULL","NULL","2014-03-14 18:42:16","2014-03-14 18:42:16","NULL"
"219","5ac0a8bf247d6a5e02a35b3f39780629","80509","line 2","2014-03-14 18:42:35","NULL","NULL","2014-03-14 18:42:31","2014-03-14 18:42:31","NULL"
"221","8386a200fdfa8d0f7935978f4fe6be82","80506","line 2","2014-03-14 18:42:37","NULL","NULL","2014-03-14 18:42:35","2014-03-14 18:42:35","NULL"
"223","332095bd39bd34a9559228fcec45184c","80277","line 3","2014-03-14 18:42:51","NULL","NULL","2014-03-14 18:42:49","2014-03-14 18:42:49","NULL"
"225","12b7469989cf1cee5419c5fb5a3c081c","80104","line 2","2014-03-14 18:42:53","NULL","NULL","2014-03-14 18:42:51","2014-03-14 18:42:51","NULL"
"227","8a25f3486729176324313c1af59c4a0a","80150","line 2","2014-03-14 18:42:53","NULL","NULL","2014-03-14 18:42:51","2014-03-14 18:42:51","NULL"
"229","9af504175025c475f440ae1301ff56f7","80117","line 4","2014-03-14 18:43:03","NULL","NULL","2014-03-14 18:43:01","2014-03-14 18:43:01","NULL"
