# call_id> Primární klíč. Pokud je 40 znaků dlouhý, hovor nemá v ostatních tabulkách vazby. Pokud je 20 znaků dlouhý, existují vazební data v ostatních out.c tabulkách
# length> Délka hovoru v sekundách
# from> hash volajícího čísla
# to> pokud je hodnota 1xxxx, jedná se o příchozí hovor a ID znamená číslo linky. Pokud je hodnota 8xxxx, je to ID konkrétního operátora (zvedače).
# international> zda jde o mezinárodní volání
# time_block> časový blok, kdy došlo k uskutečnění hovoru
# service_id> id služby na kterou zákazník volá
# length_9>
# length_C>
# length_O>
# length_7>
# operator> telefonní operátor (O2, T-mobile...)
# ope_agent> z ope_calls
# ope_line> z ope_calls
# wup_question_id> z ope_wup_logs
# wup_answer_id> z ope_wup_logs
# cancelled>
# ivr>
# time_segment_id>
# length_B>
# transferred_external> zda došlo k přepojení hovoru

"call_id","length","from","to","international","time_block","service_id","length_9","length_C","length_O","length_7","operator","ope_agent","ope_line","wup_question_id","wup_answer_id","cancelled","ivr","time_segment_id","length_B","transferred_external"
"100000837192945253177620075670210319877","131","2b9beac8d38ffe9ce45e6926d2fb8500","80290","0","2012-06-23 11:45:00","NULL","131","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000897617326858913298023539754291190","496","1008da72cdf9274408d0a223ef62d134","80374","0","2013-04-23 13:30:00","NULL","496","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000912242921705258285468377139480690","95","8300e5924a2079ccbaf5b564ca4723c1","80060","0","2012-08-07 15:45:00","NULL","95","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000009297229668284018253483103360849581","68","ec8e6fda64c81ecaf5294d16779e2af5","80479","0","2012-10-29 15:00:00","NULL","68","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001119691406106358","236","5c140f19dc1acfe21776c1425ded8716","11182","0","2014-07-23 11:00:00","8","236","231","NULL","231","-1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"00001028401412255948","151","549afed59578be0ad5bf6b8094997045","11885","0","2014-10-02 15:15:00","6","151","145","NULL","145","2","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"100000952430724629627089762078339319205","18","4fb49e2b715a9b56f9188d74d0730ef5","80017","0","2013-10-31 19:45:00","NULL","18","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000009648980553360226268943928875722","177","cad19a6e073e2c382dab531db4b2e5fe","80013","0","2012-09-25 12:15:00","NULL","177","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000976684307447758816225296129268974","188","0d90064e76c4f0dd26584425714ca77f","80275","0","2013-04-17 10:00:00","NULL","188","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001114471409293389","141","a5954df9b40dc7166e9d8735d713fbf6","11885","0","2014-08-29 08:15:00","6","141","135","NULL","135","3","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"100000995897862643826717933488271607911","207","f0df8416f7367c0ee6d245ecb8f18e53","80061","0","2012-06-04 12:30:00","NULL","207","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100001011728861170369888691308650573282","198","50d80e58d7d02a21bc98fd04e46d04cf","11886","0","2013-02-08 07:15:00","6","198","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100001017420969564906810212843907233696","92","acd8d87a1f49bb690ff6b2a2d94afbc7","11885","0","2014-03-10 15:30:00","6","92","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001052791405989547","140","93d6e8e523b691d7301a572d9d7c0546","11885","0","2014-07-22 02:30:00","6","140","133","NULL","133","-1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"100001043413582693305765636450745292635","102","06c416ff7de19ff336103bc06cf3febe","80267","0","2012-07-23 11:45:00","NULL","102","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100001055585818439157706733220389571492","120","cd3327a9d10455dd61bc374122b4fb4b","80031","0","2013-03-17 19:30:00","NULL","120","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001062771412147562","146","e4494b93357c9bd8c2d464f72f1e4c03","11885","0","2014-10-01 09:00:00","6","146","129","NULL","129","-1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"100001100914481409812248452804939804181","180","04fcea24e7538d4e1dfbc2375e2aa3ce","11885","0","2014-02-25 10:30:00","6","180","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000011076262728703410020868686969418154","68","ba0b92f2fb983c54e78f2386c7d33de7","80161","0","2012-09-20 22:15:00","NULL","68","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000011278542958817316757557325638810279","62","55b9de5d4f920867d213471b040c52a2","80580","0","2013-08-05 15:30:00","NULL","62","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100001141514846169784421267056974481106","63","e2311db055ebdb5886e69c3d89b7c10a","80031","0","2013-05-29 15:00:00","NULL","63","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001049041408015298","176","3a4480475282b17f908c283e42e0a588","11886","0","2014-08-14 13:15:00","6","176","134","NULL","134","-1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"100001157728714205438592029775946744476","223","3f13d078a4692109207a44bba339a747","11804","0","2014-01-31 02:00:00","7","223","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001105021411544667","33","d808f8e0586d6affb46dc3c8f10e1510","10602","0","2014-09-24 09:30:00","10","33","NULL","NULL","33","-1","NULL","NULL","NULL","NULL","1","0","NULL","NULL","0"
"10000118218628029993898940585093559957","143","717558f11e6439e31a54905b2ccc7d57","80064","0","2012-10-31 13:30:00","NULL","143","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100001193058234163082946768434305845307","240","9a271a458e1470ed39060d56526867de","80147","0","2013-02-06 09:15:00","NULL","240","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000011955775084180612295575965348905944","212","fd80def71ce8d351b1964d5a03f0ca67","11885","0","2014-01-24 00:45:00","6","212","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100001213545880623008502769934516985572","352","014448f0de9a8301fe4c85937c8b3d14","11885","0","2014-03-07 21:15:00","6","352","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100001219030249172346350241632180048620","151","ab52ade8d4fccf567e2e111c011b6352","80075","0","2012-09-17 11:30:00","NULL","151","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000012215580702340110984487431246782927","42","9aa021f47d1cf1bdd58deaed7db45024","80033","0","2013-04-17 16:00:00","NULL","42","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000012415895958131811386755097326852414","14","394694ab0b158b050c722e8d0bb500ab","80013","0","2013-09-18 08:15:00","NULL","14","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100001246339958833003223275210614051210","98","9a48243b496e46ae6ea1560a8b043db2","11884","0","2014-04-15 19:30:00","6","98","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
